keys;pl
PZ1;Dojeżdżając do skrzyżowania oznaczonego tym znakiem trzeba ustąpić pierwszeństwa pojazdowi:
PZ1O1;większemu
PZ1O2;nadjeżdżającemu z lewej strony
PZ1O3;nadjeżdżającemu z prawej strony
PZ1DO;C
PZ2;Dojeżdżając do skrzyżowania, przed którym stoi ten znak musimy ustąpić pierwszeństwa:
PZ2O1;tylko nadjeżdżającym z prawej strony
PZ2O2;wszystkim jadącym drogą poprzeczną
PZ2O3;tylko jadącym prosto
PZ2DO;B
PZ3;Widząc ten znak rowerzysta:
PZ3O1;nie może wjechać na drogę za tym znakiem
PZ3O2;może jechać dalej bez żadnych ograniczeń
PZ3O3;musi zmniejszyć prędkość
PZ3DO;A
PZ4;Sygnał zielony na sygnalizatorze świetlnym oznacza:
PZ4O1;zakaz wejścia oraz jazdy
PZ4O2;zezwolenie na wjazd za sygnalizator
PZ4O3;zezwolenie na wjazd jadącym tylko prosto przez  skrzyżowanie
PZ4DO;B
PZ5;Widząc ten znak rowerzysta:
PZ5O1;musi ustąpić pierwszeństwa nadjeżdżającym z prawej strony
PZ5O2;ma pierwszeństwo przed pojazdem z prawej strony
PZ5O3;może skręcić w prawo
PZ5DO;B
PZ6;Znak ten oznacza, że:
PZ6O1;na skrzyżowaniu ruch odbywa się dookoła wyspy lub placu w kierunku wskazanym na znaku
PZ6O2;kierujący znajdujący się na skrzyżowaniu ma pierwszeństwo przed kierującym wjeżdżającym na to skrzyżowanie
PZ6O3;obowiązuje zakaz ruchu wszelkich rowerów na jezdni i na poboczu
PZ6DO;A
PZ7;W jakim miejscu należy zatrzymać rower, jeżeli przed skrzyżowaniem  umieszczony jest ten znak?
PZ7O1;w dowolnym
PZ7O2;przed znakiem
PZ7O3;przed linią ciągłą poprzeczną
PZ7DO;C
PZ8;Gdzie ustawia się ten znak?
PZ8O1;przed miejscami, którymi przechodzą dzieci
PZ8O2;tylko w pobliżu szkół
PZ8O3;w miejscach szczególnie uczęszczanych przez dzieci lub w bliskości tych miejsc
PZ8DO;C
PZ9;Za tym znakiem  pierwszeństwo mają pojazdy:
PZ9O1;które znajdują się na rondzie
PZ9O2;wjeżdżające na rondo
PZ9O3;mające lewą stronę wolną
PZ9DO;B
